"",normal,linear pca,kernel pca,grp
Random Forest,0.4925696197064019,0.4652281943827237,0.021338114174144683,0.47721858994105765
PLS,,0.48781140053843347,-2865.054411268223,0.4979237375896071
Kernel Ridge,,-59.3670252424698,-0.267899379967671,-60.68999740683281
Gaussian Random Process,,-57.56055222246749,-0.7708991348802989,-59.32377068463834
