Coefficient,Std Error,t Value,P-Value,Confidence Interval(Lower),Confidence Interval(Upper)
31.8353644202648,24.374325976320875,1.3061023492995112,0.19181454085676988,-15.994640745377762,79.66536958590736
-3.8523701034644935,3.8761386834293887,-0.9938679748311104,0.32052471987052356,-11.458559231782647,3.7538190248536605
-0.005687894823071122,0.08017355578345944,-0.07094477433972797,0.9434557253075435,-0.16301333598588014,0.15163754633973792
-0.01772532017527014,0.025402418394922015,-0.6977808136099932,0.4854745636129474,-0.06757276228420384,0.03212212193366355
0.050566063023731365,0.05208662757337405,0.9708070070864028,0.33187635995372466,-0.051644093200306516,0.15277621924776924
0.029177216163005754,0.03191344600965682,0.9142609091533674,0.36079753897137534,-0.03344688630359065,0.09180131862960215
16.65927553204493,135.13058990616824,0.12328278551594254,0.901907651274541,-248.50895186949657,281.82750293358646
110.11272971541015,81.83644418920665,1.3455219224924835,0.17875813315346098,-50.47581546570251,270.7012748965228
-390.1830913803202,196.6740796418037,-1.9839070409834807,0.04753604364180235,-776.1187785601046,-4.247404200535755
-199.55251337065343,136.07150192264612,-1.4665268667652025,0.1428154674594814,-466.56710266348466,67.46207592217777
-380.7637594004882,259.5873491847823,-1.4668039894711848,0.14274005684236413,-890.1548401838309,128.62732138285452
-27.934409373589443,56.545564612165826,-0.49401592441751535,0.6214021388293385,-138.89438628214074,83.02556753496187
84.92471404555954,94.80444232520708,0.8957883403210456,0.37057883770130773,-101.11107502797961,270.9605031190987
-262.05123359655244,121.08161653155639,-2.164252849467503,0.03067826687441366,-499.6510076290672,-24.45145956403769
155.68853049467987,112.61706651295152,1.3824594736426996,0.1671356707763408,-65.30116490394678,376.6782258933065
-494.46726140625253,289.0461565604031,-1.7106861661484218,0.08744553325270218,-1061.665680547113,72.7311577346079
8.783483656334711,10.56078457202063,0.8317074926047978,0.40577027133568144,-11.940058858182423,29.507026170851844
301.88287195139907,141.6433812623355,2.1312882343036312,0.03330585578261997,23.934523183184524,579.8312207196136
279.8355991180245,171.89750055318177,1.627921279934194,0.10385284053725563,-57.48073723552574,617.1519354715747
43.426719160923284,51.31193855676992,0.8463277822348755,0.3975699885861248,-57.26325637373107,144.11669469557762
0.5462529238193377,2.00927587018254,0.27186556705611126,0.7857808396661476,-3.396570986199526,4.489076833838202
-22.88731868540098,12.054860427645977,-1.898596738035425,0.057901765351786226,-46.54270251367775,0.7680651428757876
36.21364410648324,18.811828892146252,1.925046432970803,0.05450357785239621,-0.7010124858937559,73.12830069886023
0.6928709965023365,0.7000713240533064,0.9897148657521335,0.32255007859332374,-0.6808865826125587,2.066628575617232
-89.5003005995698,48.90392562249549,-1.8301250760613834,0.06752524705866139,-185.4650061432849,6.464404944145315
376.5643052696953,204.82460701491107,1.8384720017662806,0.06628579791710161,-25.36525048873858,778.4938610281292
-125.44720922326435,52.05070437328949,-2.410096284645847,0.016125857734862217,-227.58687296077028,-23.30754548575841
-14.757766247043893,34.79060602894038,-0.4241882488269311,0.6715186834747284,-83.02775113592358,53.5122186418358
268.949185157915,163.31700735634817,1.6467922692894046,0.09991121462541035,-51.52955600112563,589.4279263169556
-112.55277729187108,52.87811316249232,-2.1285324033026845,0.033534007434152614,-216.31607430235925,-8.789480281382922
168.3593840008416,77.18770526676792,2.181168405239874,0.02940056280121507,16.89310980642105,319.8256581952621
-7.064506515917688,6.495285935291591,-1.0876359541822915,0.277014816072169,-19.810276804668685,5.681263772833311
37.19949721858721,23.43984371831202,1.5870198481539224,0.11282052729767035,-8.796763240794085,83.19575767796852
-68.90567396277972,50.74870069448965,-1.3577820322454397,0.17483552069433572,-168.49040170971998,30.679053784160544
10.126947149436473,36.655791407806866,0.2762714092507537,0.7823960227755424,-61.80311130999988,82.05700560887283
-95.5040915590617,77.24073459327903,-1.2364472200057486,0.21657925273400258,-247.07442577809263,56.066242659969205
3.430559331030236,2.835233782419336,1.2099740600942268,0.22657139700179157,-2.1330507803083325,8.994169442368804
32.37806668270862,23.443834548261623,1.3810909054171547,0.16755589469380097,-13.626025025720963,78.3821583911382
8.142157161781823,37.00077164633146,0.22005371238221458,0.8258737040659128,-64.46485977464813,80.74917409821178
2241.429465341289,1099.1214213794406,2.039291948771417,0.041680264305721824,84.6115367832399,4398.247393899338
285.02870803995233,151.86320140857256,1.8768780415283848,0.060822342536486815,-12.974105038837536,583.0315211187421
272.6791537913623,160.51345634213706,1.6987931105921874,0.08966553387728131,-42.29814869724578,587.6564562799704
9.079970345248007,65.98222019799005,0.13761237978961796,0.8905741449400089,-120.39765853262728,138.55759922312328
192.860874447615,108.8499788377627,1.7718044275880638,0.07672789451178036,-20.736623803129476,406.4583726983595
95.78728910452539,59.3881674822995,1.6129019157406155,0.10707758896431854,-20.750758356395167,212.32533656544592
1.0606067274684563,2.755815980293972,0.38486122986895444,0.7004210976659004,-4.347160966336583,6.468374421273495
-187.0806165197735,88.60945323278996,-2.1112941079580465,0.03499173819356279,-360.95991106791473,-13.201321971632325
157.39069926434203,88.6656921841035,1.7751025835059115,0.0761814680275736,-16.59895359009451,331.38035211877855
-40.638658925279515,49.69031950587737,-0.81783855144004,0.41364189196653967,-138.1465137458577,56.86919589529869
-0.8064342350727998,5.7928283068334485,-0.13921252147616703,0.8893099123263357,-12.173764273601567,10.560895803455967
-3.706285725525543,24.960103286880415,-0.14848839698005775,0.8819869238933841,-52.68576808357119,45.27319663252011
67.74464782401864,55.54210234745996,1.2196990203975728,0.22286316839753276,-41.2462241603171,176.73551980835438
